Model No.,Model Type,Accuracy,Precision,Recall,AUC,F1,Val_Accuracy,Val_Precision,Val_Recall,Val_AUC,Val_F1
7620990927024958186,AdaBoost,0.6657,0.6686,0.6573,0.6657,0.6629,0.5625,0.381,0.64,0.5836,0.4776
7620990927024958186,LogisticRegression,0.6545,0.6022,0.9101,0.6545,0.7248,0.425,0.3279,0.8,0.5273,0.4651
5572572664544820739,NeuralNetwork,0.7331,0.7044,0.8034,0.7331,0.7507,0.55,0.3659,0.6,0.5636,0.4545
5572572664544820739,RandomForestClassifier,0.9916,0.9888,0.9944,0.9916,0.9916,0.675,0.4839,0.6,0.6545,0.5357
5572572664544820739,SVM,0.7388,0.7515,0.7135,0.7388,0.732,0.5625,0.3684,0.56,0.5618,0.4444
5572572664544820739,XGBClassifier,0.8708,0.875,0.8652,0.8708,0.8701,0.6,0.3871,0.48,0.5673,0.4286
5572572664544820739,AdaBoost,0.6718,0.6591,0.7117,0.6718,0.6844,0.575,0.3846,0.6,0.5818,0.4688
5572572664544820739,LogisticRegression,0.6656,0.6125,0.9018,0.6656,0.7295,0.4875,0.3667,0.88,0.5945,0.5176
6349297997168265341,NeuralNetwork,0.7209,0.725,0.7117,0.7209,0.7183,0.575,0.3714,0.52,0.56,0.4333
6349297997168265341,RandomForestClassifier,0.9939,0.9939,0.9939,0.9939,0.9939,0.5625,0.3214,0.36,0.5073,0.3396
6349297997168265341,SVM,0.7638,0.7867,0.7239,0.7638,0.754,0.6,0.3871,0.48,0.5673,0.4286
6349297997168265341,XGBClassifier,0.8834,0.8882,0.8773,0.8834,0.8827,0.625,0.4194,0.52,0.5964,0.4643
6349297997168265341,AdaBoost,0.7155,0.7246,0.6954,0.7155,0.7097,0.5625,0.381,0.64,0.5836,0.4776
6349297997168265341,LogisticRegression,0.658,0.6096,0.8793,0.658,0.72,0.425,0.322,0.76,0.5164,0.4524
6349297997168265341,NeuralNetwork,0.7443,0.7457,0.7414,0.7443,0.7435,0.5875,0.4091,0.72,0.6236,0.5217
6349297997168265341,RandomForestClassifier,0.9914,0.9886,0.9943,0.9914,0.9914,0.5625,0.3611,0.52,0.5509,0.4262
6349297997168265341,SVM,0.7615,0.7758,0.7356,0.7615,0.7552,0.5875,0.4048,0.68,0.6127,0.5075
6349297997168265341,XGBClassifier,0.8563,0.869,0.8391,0.8563,0.8538,0.5875,0.3947,0.6,0.5909,0.4762
6349297997168265341,AdaBoost,0.6714,0.6948,0.6114,0.6714,0.6505,0.6375,0.4412,0.6,0.6273,0.5085
6349297997168265341,LogisticRegression,0.62,0.5755,0.9143,0.62,0.7064,0.5,0.377,0.92,0.6145,0.5349
1600317937521037076,NeuralNetwork,0.6743,0.6614,0.7143,0.6743,0.6868,0.6375,0.4444,0.64,0.6382,0.5246
1600317937521037076,RandomForestClassifier,0.9943,0.9943,0.9943,0.9943,0.9943,0.65,0.4483,0.52,0.6145,0.4815
1600317937521037076,SVM,0.6971,0.7226,0.64,0.6971,0.6788,0.65,0.4545,0.6,0.6364,0.5172
1600317937521037076,XGBClassifier,0.8629,0.8944,0.8229,0.8629,0.8571,0.7,0.5152,0.68,0.6945,0.5862
1600317937521037076,AdaBoost,0.6983,0.6983,0.6983,0.6983,0.6983,0.6125,0.4118,0.56,0.5982,0.4746
1600317937521037076,LogisticRegression,0.6313,0.5848,0.905,0.6313,0.7105,0.475,0.3559,0.84,0.5745,0.5
1256020061105316745,NeuralNetwork,0.7067,0.7011,0.7207,0.7067,0.7107,0.65,0.4571,0.64,0.6473,0.5333
