Model No.,Model Type,Accuracy,Precision,Recall,AUC,F1,Val_Accuracy,Val_Precision,Val_Recall,Val_AUC,Val_F1
8079784240003730944,AdaBoost,0.6868,0.697,0.6609,0.6868,0.6785,0.6125,0.425,0.68,0.6309,0.5231
8079784240003730944,LogisticRegression,0.6379,0.5923,0.8851,0.6379,0.7097,0.5,0.377,0.92,0.6145,0.5349
8079784240003730944,NeuralNetwork,0.7098,0.6952,0.7471,0.7098,0.7202,0.5625,0.3864,0.68,0.5945,0.4928
1501263891469386078,RandomForestClassifier,0.9943,0.9943,0.9943,0.9943,0.9943,0.65,0.4444,0.48,0.6036,0.4615
1501263891469386078,SVM,0.727,0.7651,0.6552,0.727,0.7059,0.65,0.4571,0.64,0.6473,0.5333
1501263891469386078,XGBClassifier,0.8563,0.8483,0.8678,0.8563,0.858,0.65,0.4545,0.6,0.6364,0.5172
1501263891469386078,AdaBoost,0.6864,0.7037,0.6441,0.6864,0.6726,0.6,0.3939,0.52,0.5782,0.4483
1501263891469386078,LogisticRegression,0.6102,0.572,0.8757,0.6102,0.692,0.475,0.3559,0.84,0.5745,0.5
1501263891469386078,NeuralNetwork,0.6921,0.6868,0.7062,0.6921,0.6964,0.5875,0.3889,0.56,0.58,0.459
1501263891469386078,RandomForestClassifier,0.9915,0.9888,0.9944,0.9915,0.9915,0.6125,0.3929,0.44,0.5655,0.4151
1501263891469386078,SVM,0.6977,0.6989,0.6949,0.6977,0.6969,0.6125,0.4167,0.6,0.6091,0.4918
1501263891469386078,XGBClassifier,0.8644,0.8772,0.8475,0.8644,0.8621,0.625,0.4074,0.44,0.5745,0.4231
1501263891469386078,AdaBoost,0.6732,0.6845,0.6425,0.6732,0.6628,0.5875,0.4,0.64,0.6018,0.4923
1501263891469386078,LogisticRegression,0.6285,0.5852,0.8827,0.6285,0.7038,0.45,0.3492,0.88,0.5673,0.5
5743970690770607953,NeuralNetwork,0.7179,0.7267,0.6983,0.7179,0.7123,0.6,0.4186,0.72,0.6327,0.5294
5743970690770607953,RandomForestClassifier,0.9916,0.9889,0.9944,0.9916,0.9916,0.6,0.4054,0.6,0.6,0.4839
5743970690770607953,SVM,0.7263,0.7396,0.6983,0.7263,0.7184,0.6125,0.425,0.68,0.6309,0.5231
5743970690770607953,XGBClassifier,0.8743,0.8807,0.8659,0.8743,0.8732,0.6125,0.4211,0.64,0.62,0.5079
5743970690770607953,AdaBoost,0.6765,0.6923,0.6353,0.6765,0.6626,0.5875,0.3571,0.4,0.5364,0.3774
5743970690770607953,LogisticRegression,0.6441,0.5939,0.9118,0.6441,0.7193,0.475,0.3509,0.8,0.5636,0.4878
5743970690770607953,NeuralNetwork,0.7029,0.6994,0.7118,0.7029,0.7055,0.5875,0.375,0.48,0.5582,0.4211
7540436196268330195,RandomForestClassifier,0.9912,0.9883,0.9941,0.9912,0.9912,0.6,0.4,0.56,0.5891,0.4667
7540436196268330195,SVM,0.7206,0.7389,0.6824,0.7206,0.7095,0.575,0.3448,0.4,0.5273,0.3704
7540436196268330195,XGBClassifier,0.8824,0.8652,0.9059,0.8824,0.8851,0.6125,0.4062,0.52,0.5873,0.4561
7540436196268330195,AdaBoost,0.7,0.6966,0.7086,0.7,0.7025,0.6375,0.4333,0.52,0.6055,0.4727
7540436196268330195,LogisticRegression,0.64,0.5932,0.8914,0.64,0.7123,0.45,0.3273,0.72,0.5236,0.45
7540436196268330195,NeuralNetwork,0.7057,0.7069,0.7029,0.7057,0.7049,0.6,0.3939,0.52,0.5782,0.4483
7540436196268330195,RandomForestClassifier,0.9914,0.9831,1.0,0.9914,0.9915,0.5875,0.3667,0.44,0.5473,0.4
7540436196268330195,SVM,0.74,0.7593,0.7029,0.74,0.73,0.6375,0.4286,0.48,0.5945,0.4528
7540436196268330195,XGBClassifier,0.8829,0.8941,0.8686,0.8829,0.8812,0.5875,0.3462,0.36,0.5255,0.3529
7540436196268330195,AdaBoost,0.7219,0.7622,0.645,0.7219,0.6987,0.675,0.4783,0.44,0.6109,0.4583
7540436196268330195,LogisticRegression,0.6598,0.6089,0.8935,0.6598,0.7242,0.525,0.3725,0.76,0.5891,0.5
2263090029466977020,NeuralNetwork,0.7633,0.7665,0.7574,0.7633,0.7619,0.575,0.3636,0.48,0.5491,0.4138
2263090029466977020,RandomForestClassifier,0.9911,0.9882,0.9941,0.9911,0.9912,0.7,0.5238,0.44,0.6291,0.4783
2263090029466977020,SVM,0.7663,0.7679,0.7633,0.7663,0.7656,0.6,0.3871,0.48,0.5673,0.4286
2263090029466977020,XGBClassifier,0.8817,0.8957,0.8639,0.8817,0.8795,0.675,0.4783,0.44,0.6109,0.4583
2263090029466977020,AdaBoost,0.6754,0.6724,0.6842,0.6754,0.6783,0.65,0.4444,0.48,0.6036,0.4615
2263090029466977020,LogisticRegression,0.6257,0.5817,0.8947,0.6257,0.7051,0.5625,0.4074,0.88,0.6491,0.557
4723985728662502504,NeuralNetwork,0.6637,0.6505,0.7076,0.6637,0.6779,0.6375,0.4412,0.6,0.6273,0.5085
4723985728662502504,RandomForestClassifier,0.9971,0.9942,1.0,0.9971,0.9971,0.6625,0.4667,0.56,0.6345,0.5091
4723985728662502504,SVM,0.693,0.7171,0.6374,0.693,0.6749,0.675,0.4815,0.52,0.6327,0.5
4723985728662502504,XGBClassifier,0.8713,0.8713,0.8713,0.8713,0.8713,0.575,0.3448,0.4,0.5273,0.3704
4723985728662502504,AdaBoost,0.7073,0.7125,0.6951,0.7073,0.7037,0.5625,0.3529,0.48,0.54,0.4068
4723985728662502504,LogisticRegression,0.6433,0.5967,0.8841,0.6433,0.7125,0.4375,0.3214,0.72,0.5145,0.4444
4723985728662502504,NeuralNetwork,0.7378,0.7241,0.7683,0.7378,0.7456,0.5,0.3077,0.48,0.4945,0.375
4723985728662502504,RandomForestClassifier,0.9909,0.9879,0.9939,0.9909,0.9909,0.625,0.4074,0.44,0.5745,0.4231
4723985728662502504,SVM,0.7409,0.7423,0.7378,0.7409,0.7401,0.5375,0.3421,0.52,0.5327,0.4127
4723985728662502504,XGBClassifier,0.872,0.8675,0.878,0.872,0.8727,0.6375,0.4167,0.4,0.5727,0.4082
4723985728662502504,AdaBoost,0.6782,0.7067,0.6092,0.6782,0.6543,0.7,0.5161,0.64,0.6836,0.5714
4723985728662502504,LogisticRegression,0.6121,0.573,0.8793,0.6121,0.6939,0.55,0.4035,0.92,0.6509,0.561
5558092857309774176,NeuralNetwork,0.6897,0.6875,0.6954,0.6897,0.6914,0.6375,0.4412,0.6,0.6273,0.5085
5558092857309774176,RandomForestClassifier,0.9914,1.0,0.9828,0.9914,0.9913,0.65,0.4444,0.48,0.6036,0.4615
5558092857309774176,SVM,0.7356,0.7531,0.7011,0.7356,0.7262,0.6875,0.5,0.64,0.6745,0.5614
5558092857309774176,XGBClassifier,0.8793,0.8976,0.8563,0.8793,0.8765,0.55,0.3226,0.4,0.5091,0.3571
5558092857309774176,AdaBoost,0.6676,0.6747,0.6474,0.6676,0.6608,0.6875,0.5,0.64,0.6745,0.5614
5558092857309774176,LogisticRegression,0.604,0.5652,0.9017,0.604,0.6949,0.4625,0.3594,0.92,0.5873,0.5169
5558092857309774176,NeuralNetwork,0.6647,0.6629,0.6705,0.6647,0.6667,0.675,0.4848,0.64,0.6655,0.5517
4967523068021221870,RandomForestClassifier,0.9913,0.9942,0.9884,0.9913,0.9913,0.625,0.4074,0.44,0.5745,0.4231
4967523068021221870,SVM,0.7197,0.7603,0.6416,0.7197,0.6959,0.675,0.48,0.48,0.6218,0.48
4967523068021221870,XGBClassifier,0.8728,0.9006,0.8382,0.8728,0.8683,0.675,0.4828,0.56,0.6436,0.5185
4967523068021221870,AdaBoost,0.7364,0.75,0.7091,0.7364,0.729,0.5875,0.3571,0.4,0.5364,0.3774
4967523068021221870,LogisticRegression,0.6879,0.6336,0.8909,0.6879,0.7406,0.475,0.3396,0.72,0.5418,0.4615
4967523068021221870,NeuralNetwork,0.7606,0.759,0.7636,0.7606,0.7613,0.575,0.3548,0.44,0.5382,0.3929
4967523068021221870,RandomForestClassifier,0.9879,0.982,0.9939,0.9879,0.988,0.6375,0.4167,0.4,0.5727,0.4082
4967523068021221870,SVM,0.7485,0.7733,0.703,0.7485,0.7365,0.55,0.3226,0.4,0.5091,0.3571
4967523068021221870,XGBClassifier,0.903,0.9182,0.8848,0.903,0.9012,0.6125,0.3846,0.4,0.5545,0.3922
4967523068021221870,AdaBoost,0.6703,0.6742,0.6593,0.6703,0.6667,0.6125,0.4,0.48,0.5764,0.4364
4967523068021221870,LogisticRegression,0.6126,0.5724,0.8901,0.6126,0.6968,0.4375,0.3214,0.72,0.5145,0.4444
448572615524765612,NeuralNetwork,0.7115,0.6995,0.7418,0.7115,0.72,0.5875,0.3824,0.52,0.5691,0.4407
448572615524765612,RandomForestClassifier,0.9945,0.9945,0.9945,0.9945,0.9945,0.55,0.3226,0.4,0.5091,0.3571
448572615524765612,SVM,0.7198,0.7326,0.6923,0.7198,0.7119,0.625,0.4,0.4,0.5636,0.4
448572615524765612,XGBClassifier,0.8929,0.8994,0.8846,0.8929,0.892,0.575,0.3636,0.48,0.5491,0.4138
